N,Connection
10,16
20,38
30,62
40,88
50,114
60,142
70,171
80,204
90,230
100,264
110,293
120,323
130,355
140,384
150,419
160,456
170,488
180,520
190,562
200,592
210,620
220,664
230,691
240,732
250,767
260,803
270,827
280,874
290,904
300,945
310,975
320,1018
330,1064
340,1095
350,1132
360,1177
370,1203
380,1233
390,1284
400,1314
410,1352
420,1374
430,1417
440,1460
450,1507
460,1565
470,1582
480,1611
490,1648
500,1726
510,1727
520,1789
530,1823
540,1845
550,1905
560,1925
570,1989
580,2016
590,2059
600,2095
610,2134
620,2131
630,2228
640,2251
650,2282
660,2327
670,2402
680,2426
690,2438
700,2492
710,2572
720,2606
730,2625
740,2713
750,2728
760,2747
770,2776
780,2815
790,2881
800,2904
810,2946
820,2963
830,3062
840,3067
850,3084
860,3145
870,3193
880,3229
890,3278
900,3327
910,3357
920,3414
930,3438
940,3462
950,3529
960,3587
970,3632
980,3621
990,3694
1000,3707
1010,3761
1020,3840
1030,3868
1040,3907
1050,3973
1060,4014
1070,4036
1080,4101
1090,4118
1100,4183
1110,4192
1120,4222
1130,4289
1140,4333
1150,4371
1160,4413
1170,4459
1180,4536
1190,4566
1200,4625
1210,4638
1220,4728
1230,4718
1240,4765
1250,4833
1260,4886
1270,4938
1280,4971
1290,5052
1300,5065
1310,5133
1320,5158
1330,5161
1340,5180
1350,5239
1360,5272
1370,5387
1380,5350
1390,5435
1400,5491
1410,5528
1420,5514
1430,5602
1440,5746
1450,5705
1460,5737
1470,5849
1480,5782
1490,5865
1500,5933
1510,6016
1520,6018
1530,6015
1540,6036
1550,6120
1560,6162
1570,6253
1580,6209
1590,6320
1600,6423
1610,6377
1620,6508
1630,6511
1640,6536
1650,6622
1660,6639
1670,6650
1680,6757
1690,6772
1700,6834
1710,6801
1720,6867
1730,6930
1740,7066
1750,6998
1760,7132
1770,7138
1780,7193
1790,7218
1800,7235
1810,7296
1820,7379
1830,7386
1840,7499
1850,7545
1860,7565
1870,7615
1880,7688
1890,7688
1900,7649
1910,7783
1920,7820
1930,7869
1940,7879
1950,7932
1960,8033
1970,8029
1980,8044
1990,8135
2000,8174
2010,8253
2020,8274
2030,8367
2040,8340
2050,8424
2060,8471
2070,8529
2080,8519
2090,8535
2100,8691
2110,8671
2120,8709
2130,8758
2140,8827
2150,8867
2160,8976
2170,8981
2180,9039
2190,9018
2200,9007
2210,9113
2220,9270
2230,9343
