M,N,Time
2540,1000,0.155779
5580,2000,0.10294600000000001
12255,4000,0.18843800000000002
26915,8000,0.436808
59112,16000,1.058603
129821,32000,2.398
285111,64000,5.554539999999999
626157,128000,13.896286
1375157,256000,33.373552
3020100,512000,85.93389800000001
6632701,1024000,194.63420200000002
14566643,2048000,785.6871339999999
M,N,Time
846,1000,0.103481
1860,2000,0.085135
4085,4000,0.109203
8971,8000,0.21826399999999999
19704,16000,0.48969999999999997
43273,32000,1.065412
95037,64000,2.518348
208719,128000,8.36664
458385,256000,17.909005999999998
1006700,512000,41.024967
