M,N,Time
846,1000,0.16683599999999998
1860,2000,0.048223
4085,4000,0.09068199999999998
8971,8000,0.19743200000000002
19704,16000,0.43459699999999996
43273,32000,0.867543
95037,64000,1.903399
208719,128000,4.407872
458385,256000,10.164384
1006700,512000,20.558200000000003
M,N,Time
846,1000,0.166787
1860,2000,0.049606000000000004
4085,4000,0.09587300000000001
8971,8000,0.198308
19704,16000,0.415081
43273,32000,0.820937
95037,64000,1.8951159999999998
208719,128000,4.980237
458385,256000,9.416686
1006700,512000,17.182004
M,N,Time
846,1000,0.10011799999999998
1860,2000,0.043252
4085,4000,0.030673
8971,8000,0.056685
19704,16000,0.11767799999999999
43273,32000,0.21938300000000002
95037,64000,0.474459
208719,128000,1.0262179999999999
458385,256000,2.337806
1006700,512000,6.070571999999999
2210900,1024000,13.266051
4855547,2048000,47.389655000000005
10663684,4096000,131.447476
M,N,Time
846,1000,0.169251
1860,2000,0.070076
4085,4000,0.152114
8971,8000,0.317534
19704,16000,0.604773
43273,32000,1.238756
95037,64000,3.718534
208719,128000,7.689896
458385,256000,12.481627000000001
1006700,512000,29.901039
