M,N,Time
846,1000,0.160826
1860,2000,0.043594999999999995
4085,4000,0.09706799999999999
8971,8000,0.210613
19704,16000,0.444224
43273,32000,0.8285819999999999
95037,64000,1.98423
208719,128000,5.240663
458385,256000,9.306017
1006700,512000,19.995663
M,N,Time
846,1000,0.168697
1860,2000,0.045328
4085,4000,0.094772
8971,8000,0.20102399999999998
19704,16000,0.40219
43273,32000,0.8286199999999999
95037,64000,2.0697989999999997
208719,128000,4.568971
458385,256000,9.184463
1006700,512000,19.499053
M,N,Time
846,1000,0.11913299999999999
1860,2000,0.047916999999999994
4085,4000,0.033811
8971,8000,0.067695
19704,16000,0.13086399999999998
43273,32000,0.289186
95037,64000,1.571525
208719,128000,1.3548580000000001
458385,256000,2.629547
1006700,512000,6.221899
2210900,1024000,14.599622
4855547,2048000,48.918428999999996
10663684,4096000,134.830627
23419430,8192000,281.684627
M,N,Time
846,1000,0.166998
1860,2000,0.069749
4085,4000,0.150395
8971,8000,0.298129
19704,16000,0.6439969999999999
43273,32000,1.343642
95037,64000,4.185645
208719,128000,7.68336
458385,256000,15.157405
1006700,512000,32.055733000000004
