M,N,Time
2540,1000,0.242876
5580,2000,0.148746
12255,4000,0.203182
26915,8000,0.43488
59112,16000,1.159024
129821,32000,2.792246
285111,64000,6.745349999999999
626157,128000,20.426538
1375157,256000,38.89585
3020100,512000,90.778894
M,N,Time
2540,1000,0.23400400000000002
5580,2000,0.184282
12255,4000,0.192152
26915,8000,0.44933999999999996
59112,16000,0.989688
129821,32000,2.4529
285111,64000,6.645982
626157,128000,14.505735999999999
1375157,256000,35.75306
3020100,512000,83.056002
M,N,Time
2540,1000,0.247318
5580,2000,0.13966
12255,4000,0.198804
26915,8000,0.431854
59112,16000,1.075468
129821,32000,2.891112
285111,64000,5.90963
626157,128000,12.233640000000001
1375157,256000,31.706926
3020100,512000,78.51272399999999
M,N,Time
2540,1000,0.153902
5580,2000,0.094291
12255,4000,0.201384
26915,8000,0.428521
59112,16000,1.015518
129821,32000,2.6477269999999997
285111,64000,6.862558
626157,128000,14.20593
1375157,256000,30.801251999999998
3020100,512000,87.697202
M,N,Time
2540,1000,0.146776
5580,2000,0.081554
12255,4000,0.18947199999999997
26915,8000,0.43459600000000004
59112,16000,1.015686
129821,32000,2.182793
285111,64000,5.343772
626157,128000,14.821641999999999
1375157,256000,33.796104
3020100,512000,75.042485
M,N,Time
2540,1000,0.16095600000000002
5580,2000,0.07996400000000001
12255,4000,0.197358
26915,8000,0.47444000000000003
59112,16000,1.092222
129821,32000,3.0766289999999996
285111,64000,7.293082000000001
626157,128000,15.645936999999998
1375157,256000,36.004906
3020100,512000,91.30609700000001
M,N,Time
1270,1000,0.129313
2790,2000,0.056544
6127,4000,0.130631
13457,8000,0.280343
29556,16000,0.62906
64910,32000,1.4331399999999999
142555,64000,4.016497
313078,128000,9.243656
687578,256000,21.240279
1510050,512000,47.872551
M,N,Time
1270,1000,0.178336
2790,2000,0.106013
6127,4000,0.145762
13457,8000,0.30925
29556,16000,0.671923
64910,32000,1.437921
142555,64000,5.296887000000001
313078,128000,9.656014
687578,256000,21.640394
1510050,512000,56.211833
M,N,Time
846,1000,0.08527599999999999
1860,2000,0.097681
4085,4000,0.08886200000000001
8971,8000,0.21380500000000002
19704,16000,0.477041
43273,32000,1.108876
95037,64000,2.427625
208719,128000,6.195487000000001
458385,256000,18.176061999999998
1006700,512000,44.771688999999995
M,N,Time
846,1000,0.090003
1860,2000,0.048799999999999996
4085,4000,0.089841
8971,8000,0.221945
19704,16000,0.468475
43273,32000,1.055752
95037,64000,2.491645
208719,128000,8.689331
458385,256000,16.655591
1006700,512000,35.921378
M,N,Time
11557,10000,0.31399
25383,20000,0.582067
55746,40000,1.4088910000000001
122429,80000,3.8141860000000003
268877,160000,9.862505
590505,320000,19.347821
1296859,640000,45.240886
2848144,1280000,149.61814700000002
6255054,2560000,480.380813
13737261,5120000,1307.892946
M,N,Time
846,1000,0.09314
1860,2000,0.07296
4085,4000,0.088271
8971,8000,0.21206499999999998
19704,16000,0.463005
43273,32000,1.050295
95037,64000,2.413563
208719,128000,6.889425
458385,256000,18.106881
1006700,512000,40.582398
M,N,Time
846,1000,0.085036
1860,2000,0.09632099999999999
4085,4000,0.08739100000000001
8971,8000,0.207467
19704,16000,0.457705
43273,32000,1.060845
95037,64000,2.405359
208719,128000,7.744886
458385,256000,19.111947
1006700,512000,39.269874
M,N,Time
846,1000,0.0843
1860,2000,0.097985
4085,4000,0.09004799999999999
8971,8000,0.21251899999999999
19704,16000,0.452509
43273,32000,1.02772
95037,64000,2.559924
208719,128000,8.089478
458385,256000,15.410757
1006700,512000,40.460695
M,N,Time
846,1000,0.10106799999999999
1860,2000,0.092235
4085,4000,0.08606299999999999
8971,8000,0.207286
19704,16000,0.45189599999999996
43273,32000,1.016719
95037,64000,2.515267
208719,128000,8.113233000000001
458385,256000,16.884252
1006700,512000,39.634583
