M,N,Time
2540,1000,0.15362
5580,2000,0.09190899999999999
12255,4000,0.19905
26915,8000,0.442343
59112,16000,0.997922
129821,32000,2.8067450000000003
285111,64000,4.8053289999999995
626157,128000,16.929302
1375157,256000,34.823147
3020100,512000,81.242084
6632701,1024000,214.124504
14566643,2048000,801.934489
M,N,Time
846,1000,0.09133100000000001
1860,2000,0.10340500000000001
4085,4000,0.09862399999999999
8971,8000,0.207633
19704,16000,0.451651
43273,32000,1.002498
95037,64000,2.407392
208719,128000,8.232322
458385,256000,15.651772000000001
1006700,512000,45.312982000000005
