M,N,Time
846,1000,0.16229
1860,2000,0.045309
4085,4000,0.09432
8971,8000,0.20677099999999998
19704,16000,0.43255499999999997
43273,32000,0.848012
95037,64000,2.094459
208719,128000,5.949996
458385,256000,9.574964
1006700,512000,22.359007000000002
M,N,Time
846,1000,0.169682
1860,2000,0.047645999999999994
4085,4000,0.099225
8971,8000,0.222303
19704,16000,0.428685
43273,32000,0.849309
95037,64000,2.014036
208719,128000,4.480594
458385,256000,8.679884
1006700,512000,18.449625
M,N,Time
846,1000,0.099504
1860,2000,0.042252
4085,4000,0.03206
8971,8000,0.055812999999999995
19704,16000,0.10058199999999999
43273,32000,0.227105
95037,64000,0.486684
208719,128000,1.0284
458385,256000,2.603219
1006700,512000,6.57025
2210900,1024000,15.356468
4855547,2048000,45.456398
10663684,4096000,142.801407
M,N,Time
846,1000,0.156233
1860,2000,0.070779
4085,4000,0.14697
8971,8000,0.307063
19704,16000,0.680067
43273,32000,1.218613
95037,64000,4.018541
208719,128000,6.889276
458385,256000,13.653098
1006700,512000,29.775076
