M,N,Time
2540,1000,0.23897200000000002
5580,2000,0.123842
12255,4000,0.191886
26915,8000,0.41603
59112,16000,1.012302
129821,32000,2.4383340000000002
285111,64000,6.1973
626157,128000,13.358915999999999
1375157,256000,31.858856
3020100,512000,83.1901
M,N,Time
2540,1000,0.23642
5580,2000,0.17444800000000002
12255,4000,0.188376
26915,8000,0.408376
59112,16000,0.9986780000000001
129821,32000,2.888096
285111,64000,6.185410000000001
626157,128000,13.364790000000001
1375157,256000,37.642416
3020100,512000,95.84303799999999
M,N,Time
2540,1000,0.157504
5580,2000,0.10519
12255,4000,0.205301
26915,8000,0.47952599999999995
59112,16000,1.0166119999999998
129821,32000,2.53371
285111,64000,5.094052
626157,128000,12.559956999999999
1375157,256000,36.947054
3020100,512000,85.50310499999999
M,N,Time
2540,1000,0.146137
5580,2000,0.072865
12255,4000,0.178898
26915,8000,0.415793
59112,16000,0.9527639999999999
129821,32000,2.968445
285111,64000,5.828658000000001
626157,128000,15.977729
1375157,256000,33.566878
3020100,512000,88.08033400000001
M,N,Time
1270,1000,0.134921
2790,2000,0.117719
6127,4000,0.128615
13457,8000,0.284627
29556,16000,0.627881
64910,32000,1.3627600000000002
142555,64000,4.705874
313078,128000,9.227028
687578,256000,22.70528
1510050,512000,55.8395
M,N,Time
846,1000,0.08324400000000001
1860,2000,0.093824
4085,4000,0.091953
8971,8000,0.212577
19704,16000,0.486899
43273,32000,1.129298
95037,64000,2.334861
208719,128000,8.379488
458385,256000,18.428194
1006700,512000,41.339183000000006
M,N,Time
846,1000,0.100568
1860,2000,0.072212
4085,4000,0.091767
8971,8000,0.20780200000000001
19704,16000,0.447988
43273,32000,0.998361
95037,64000,2.4233729999999998
208719,128000,7.335095
458385,256000,14.754563000000001
1006700,512000,34.895680999999996
M,N,Time
11557,10000,0.310527
25383,20000,0.572203
55746,40000,1.34218
122429,80000,3.8594760000000004
268877,160000,9.722055000000001
590505,320000,19.111294
1296859,640000,45.993072000000005
2848144,1280000,150.915321
6255054,2560000,471.50025
13737261,5120000,1304.7622509999999
M,N,Time
846,1000,0.084992
1860,2000,0.092471
4085,4000,0.084814
8971,8000,0.20535799999999998
19704,16000,0.45551200000000003
43273,32000,1.0151860000000001
95037,64000,2.4224930000000002
208719,128000,7.485124
458385,256000,14.840092
1006700,512000,44.244068
M,N,Time
846,1000,0.087046
1860,2000,0.089396
4085,4000,0.084052
8971,8000,0.200992
19704,16000,0.444919
43273,32000,1.040843
95037,64000,2.51599
208719,128000,7.516121000000001
458385,256000,17.839396
1006700,512000,43.312084999999996
