M,N,Time
2540,1000,0.16867100000000002
5580,2000,0.085864
12255,4000,0.19704899999999997
26915,8000,0.43184399999999995
59112,16000,0.8846890000000001
129821,32000,2.7659879999999997
285111,64000,6.089894
626157,128000,12.943705
1375157,256000,32.579153999999996
3020100,512000,83.29585300000001
6632701,1024000,236.27740000000003
14566643,2048000,970.46883
M,N,Time
846,1000,0.08537800000000001
1860,2000,0.086106
4085,4000,0.086942
8971,8000,0.178421
19704,16000,0.38138399999999995
43273,32000,0.8487269999999999
95037,64000,2.029003
208719,128000,5.398717
458385,256000,13.857835999999999
1006700,512000,32.949744
