M,N,Time
846,1000,0.16171500000000003
1860,2000,0.047901
4085,4000,0.101424
8971,8000,0.221407
19704,16000,0.396134
43273,32000,0.834906
95037,64000,1.8878620000000002
208719,128000,4.423584
458385,256000,9.294981
1006700,512000,19.08428
M,N,Time
846,1000,0.101249
1860,2000,0.045121
4085,4000,0.024799
8971,8000,0.041577
19704,16000,0.093636
43273,32000,0.201784
95037,64000,0.49457999999999996
208719,128000,1.062019
458385,256000,2.377818
1006700,512000,5.743059
2210900,1024000,13.608735
4855547,2048000,51.723511
10663684,4096000,133.174784
M,N,Time
846,1000,0.167199
1860,2000,0.064274
4085,4000,0.149831
8971,8000,0.379156
19704,16000,0.669
43273,32000,1.280961
95037,64000,3.5891680000000004
208719,128000,8.01299
458385,256000,14.662249
1006700,512000,28.536878
2210900,1024000,79.315881
4855547,2048000,267.503315
M,N,Time
846,1000,0.174315
1860,2000,0.07617499999999999
4085,4000,0.151361
8971,8000,0.335725
19704,16000,0.653489
43273,32000,1.2183950000000001
95037,64000,3.548361
208719,128000,6.980486
458385,256000,13.610417
1006700,512000,27.283998999999998
