M,N,Time
2540,1000,0.213352
5580,2000,0.159072
12255,4000,0.15318199999999998
26915,8000,0.376676
59112,16000,0.922232
129821,32000,2.793124
285111,64000,5.582486
626157,128000,15.26752
1375157,256000,33.503618
3020100,512000,81.385064
M,N,Time
2540,1000,0.157246
5580,2000,0.077304
12255,4000,0.179281
26915,8000,0.397702
59112,16000,0.857149
129821,32000,2.275959
285111,64000,5.073942
626157,128000,13.479163000000002
1375157,256000,30.961172
3020100,512000,73.621917
M,N,Time
846,1000,0.091904
1860,2000,0.08388400000000001
4085,4000,0.062752
8971,8000,0.170238
19704,16000,0.41135800000000006
43273,32000,0.8871859999999999
95037,64000,2.116874
208719,128000,6.245870999999999
458385,256000,13.553938
1006700,512000,37.114050999999996
M,N,Time
846,1000,0.084524
1860,2000,0.087451
4085,4000,0.061016
8971,8000,0.174481
19704,16000,0.37615200000000004
43273,32000,0.9089079999999999
95037,64000,2.07523
208719,128000,7.442139
458385,256000,16.528203
1006700,512000,33.597305
M,N,Time
846,1000,0.09405
1860,2000,0.069711
4085,4000,0.068203
8971,8000,0.17068000000000003
19704,16000,0.382776
43273,32000,0.8611719999999999
95037,64000,2.248516
208719,128000,7.123862
458385,256000,15.290816
1006700,512000,38.009257
M,N,Time
846,1000,0.093453
1860,2000,0.084611
4085,4000,0.065893
8971,8000,0.17708
19704,16000,0.393679
43273,32000,0.852603
95037,64000,2.030659
208719,128000,5.4932479999999995
458385,256000,13.942909
1006700,512000,34.226986000000004
